airline,origin,destination,month,day_of_week,distance,scheduled_departure_hour,temperature,humidity,weather_condition,arrival_delay,is_delayed,flight_date
B6,ATL,MCO,2,2,2258,5,36.526137754525685,52.547346710790414,Storm,0.0,0,2025-07-15 01:06:50.303915
F9,SEA,SFO,5,2,554,3,26.70591982130601,67.55439162256042,Snow,0.0,0,2026-02-17 01:06:50.303915
B6,MCO,ATL,6,5,158,7,-7.142718982016479,85.0957748400278,Clear,0.0,0,2025-05-13 01:06:50.303915
HA,LAX,MCO,12,6,1359,9,14.887454965822453,58.63020039669175,Rain,0.0,0,2025-06-13 01:06:50.303915
AA,DFW,DEN,6,7,1326,13,29.333136064670448,33.35019575174059,Clear,0.0,0,2025-05-16 01:06:50.303915
WN,LAS,SFO,5,7,1289,2,30.403699094759546,74.7743378477266,Rain,0.0,0,2025-06-09 01:06:50.303915
HA,ATL,SFO,4,2,238,17,-4.1087067708546385,61.99931664764798,Cloudy,0.0,0,2025-06-09 01:06:50.303915
AA,JFK,ORD,4,5,864,12,13.337201177115592,61.063452291544706,Cloudy,0.0,0,2025-04-14 01:06:50.303915
B6,SEA,LAX,11,7,926,18,16.10838255388699,43.82372333256479,Snow,48.81520198098501,1,2025-04-07 01:06:50.303915
DL,ATL,ATL,5,3,854,3,26.293458527817016,36.721409466422294,Storm,0.0,0,2026-01-26 01:06:50.303915
HA,SFO,SEA,1,6,1007,8,28.871608502918434,24.05322346456734,Storm,76.5739376219581,1,2025-11-06 01:06:50.303915
SW,SFO,LAX,6,2,621,7,4.968212597475954,71.90056117447281,Snow,0.0,0,2025-11-10 01:06:50.303915
UA,LAX,DEN,11,3,419,9,36.891105130393896,35.37123817635723,Cloudy,0.0,0,2025-10-13 01:06:50.303915
UA,SEA,JFK,11,4,2429,3,25.676920511870385,50.312285130984336,Storm,38.62672879614087,1,2025-03-31 01:06:50.303915
NK,MCO,DEN,9,4,1195,15,15.146736509273467,74.34259063029367,Clear,0.0,0,2025-10-09 01:06:50.303915
AA,LAX,DEN,8,5,815,13,-0.09910638532645422,66.04615565122813,Clear,0.0,0,2025-09-09 01:06:50.303915
NK,DEN,DFW,4,5,2176,1,0.517880399610096,45.42471520103351,Rain,0.0,0,2025-10-25 01:06:50.303915
AA,LAS,DEN,6,2,545,14,14.707546844316646,71.70641392297114,Storm,14.494840441623452,0,2025-09-28 01:06:50.303915
SW,LAS,ORD,1,3,301,6,33.533502427618345,74.71570757857705,Rain,0.0,0,2025-04-16 01:06:50.303915
F9,LAS,DFW,2,5,2064,13,29.140949424932565,46.90381639533214,Storm,69.17279871747752,1,2026-02-20 01:06:50.303915
AS,SEA,SEA,5,6,903,12,22.38509702756496,89.09207592307739,Cloudy,0.0,0,2025-10-27 01:06:50.303915
HA,DFW,MCO,12,1,2365,22,23.070992266355,36.8368225488112,Rain,0.0,0,2025-05-01 01:06:50.303915
B6,SEA,SEA,2,4,2291,11,20.724550021584772,34.443298051779145,Clear,0.0,0,2025-09-05 01:06:50.303915
UA,DFW,DFW,9,5,1553,6,5.310898694900372,54.174957359199674,Clear,0.0,0,2025-06-22 01:06:50.303915
DL,MCO,SFO,6,3,1973,21,-3.660261716918108,54.23889569090282,Storm,0.0,0,2025-10-16 01:06:50.303915
NK,JFK,LAX,9,6,2222,10,34.033866220352174,66.38452675883855,Storm,33.576681605942554,1,2025-12-07 01:06:50.303915
DL,LAX,SFO,7,3,1392,9,35.543497003160944,30.24519110553978,Storm,15.115179220591425,1,2025-09-27 01:06:50.303915
NK,SFO,LAS,10,7,2312,10,11.685251062118567,63.56102382592035,Storm,74.62175265344393,1,2025-06-06 01:06:50.303915
F9,DEN,ORD,3,3,843,21,-6.568475454886982,49.46093249040554,Cloudy,0.0,0,2025-11-29 01:06:50.303915
AS,SEA,LAX,10,7,744,5,34.084085407935945,36.24604243348901,Snow,0.0,0,2025-05-25 01:06:50.303915
NK,JFK,DFW,10,6,1328,3,-6.481651617818925,23.984432824504662,Rain,0.0,0,2025-08-27 01:06:50.303915
F9,LAS,LAS,7,2,1681,21,-8.864290353593187,44.06536753246675,Storm,0.0,0,2025-08-05 01:06:50.303915
SW,JFK,SEA,8,4,432,18,20.627429484461093,40.562220489587574,Clear,0.0,0,2025-04-20 01:06:50.303915
F9,SFO,DEN,4,7,352,6,19.7848885675421,21.820925403802427,Cloudy,0.0,0,2025-10-15 01:06:50.303915
UA,SFO,JFK,1,2,1593,20,-4.214623074608317,36.19324692539306,Storm,0.0,0,2025-07-04 01:06:50.303915
F9,ORD,SEA,4,7,1165,23,10.779466243663663,28.0575558050626,Storm,27.85271188938961,1,2025-03-24 01:06:50.303915
SW,JFK,SFO,1,7,2398,23,6.616108820305676,57.5854505339031,Snow,0.0,0,2025-08-15 01:06:50.303915
DL,DFW,SEA,8,7,652,12,25.6756666496467,24.69789477991028,Rain,0.0,0,2025-04-26 01:06:50.303915
WN,SEA,SEA,10,5,476,19,33.29313560403153,45.08157578710487,Snow,0.0,0,2025-04-14 01:06:50.303915
AA,JFK,ORD,1,4,2344,12,16.10841184528947,44.45868834496639,Clear,0.0,0,2025-04-10 01:06:50.303915
DL,LAX,DEN,6,5,610,1,16.759185547735836,70.82056163073833,Clear,0.0,0,2025-08-17 01:06:50.303915
WN,ORD,DFW,11,6,1720,12,6.007510299789001,42.373083649591734,Rain,0.0,0,2025-06-02 01:06:50.303915
HA,DFW,DFW,6,5,681,7,28.12051787330565,53.79107885836234,Cloudy,72.65389070008736,1,2025-05-03 01:06:50.303915
F9,LAX,LAS,2,4,259,18,11.640733140307884,89.1688750014932,Rain,66.12701145719222,1,2026-01-29 01:06:50.303915
B6,SEA,SEA,7,2,141,22,34.53422730668128,44.78323461406272,Snow,0.0,0,2025-11-11 01:06:50.303915
AA,LAS,ORD,3,1,1610,12,-4.5651707669326935,37.83545761398753,Snow,0.0,0,2025-08-04 01:06:50.303915
HA,JFK,SFO,3,3,2339,14,-6.784586434902326,59.80420261376383,Snow,0.0,0,2025-10-19 01:06:50.303915
B6,LAS,DEN,1,2,539,16,27.02791229566987,35.977795538850906,Storm,0.0,0,2025-07-20 01:06:50.303915
F9,ATL,SEA,2,5,1623,2,17.793185792231874,24.94996674575991,Rain,0.0,0,2026-02-04 01:06:50.303915
AA,LAX,ORD,5,1,312,12,28.121021005578385,61.4609470638617,Storm,0.0,0,2025-07-09 01:06:50.303915
B6,DEN,ATL,8,1,1550,22,14.955383969869938,39.90561178428746,Storm,44.11964695273297,1,2025-04-08 01:06:50.303915
SW,SEA,SFO,10,5,1794,15,-5.010328164857738,22.575588025718314,Clear,19.485589681975963,1,2025-05-09 01:06:50.303915
SW,SFO,DEN,2,7,1857,21,12.77992281355284,52.829567400539894,Clear,0.0,0,2025-11-04 01:06:50.303915
WN,ORD,MCO,7,7,808,6,4.844458808595967,82.53812118051259,Rain,36.68886893788735,1,2025-07-13 01:06:50.303915
DL,LAS,LAS,12,2,2396,22,35.060289685415825,51.75720798073372,Clear,44.63530627551482,1,2025-03-28 01:06:50.303915
WN,SEA,DFW,2,5,991,9,14.09749037920449,26.13429091305304,Storm,0.0,0,2025-05-10 01:06:50.303915
DL,SEA,LAS,6,3,1316,6,-1.6178469168354042,78.96350141310369,Cloudy,46.33400250265586,1,2026-01-17 01:06:50.303915
WN,SEA,DEN,2,4,943,9,23.62180208284738,41.71907337137708,Cloudy,0.0,0,2026-01-02 01:06:50.303915
SW,MCO,SFO,4,2,2393,14,0.4435017755058315,42.26912137874548,Storm,0.0,0,2025-06-09 01:06:50.303915
UA,DFW,ORD,11,3,298,22,39.20968790006716,76.20482584494613,Clear,0.0,0,2026-01-17 01:06:50.303915
WN,LAS,DEN,2,6,2050,17,29.136739180891986,77.12937752036214,Storm,81.09424971511814,1,2025-08-15 01:06:50.303915
WN,SFO,ATL,3,2,337,15,37.49060711405576,46.52220257884578,Storm,0.0,0,2025-09-29 01:06:50.303915
AA,MCO,SEA,2,5,1432,10,25.86078679626179,43.78142614054174,Storm,26.408039489855312,1,2025-04-11 01:06:50.303915
WN,ATL,LAX,7,3,1693,11,32.30312804504696,21.435516373815478,Cloudy,11.744539254354542,0,2025-05-25 01:06:50.303915
SW,DFW,LAS,5,3,1378,13,21.621687613900534,58.96262103351385,Storm,30.145687807021385,1,2025-03-11 01:06:50.303915
UA,MCO,ATL,1,3,194,16,30.033370950130852,71.9571811373009,Clear,89.0755285971612,1,2025-09-15 01:06:50.303915
SW,ORD,SFO,1,7,822,11,10.124251813203031,25.202313656212176,Rain,0.0,0,2025-04-18 01:06:50.303915
SW,MCO,JFK,10,5,849,19,26.42249955603331,21.45878802494433,Cloudy,0.0,0,2025-10-08 01:06:50.303915
DL,JFK,MCO,10,4,1899,3,15.301524722420083,80.32794473312921,Snow,0.0,0,2025-12-10 01:06:50.303915
WN,LAX,ORD,7,3,2405,19,10.190377821269749,44.262995639562995,Storm,0.0,0,2026-01-11 01:06:50.303915
SW,ATL,DEN,8,4,1386,10,24.435128444793556,26.597868034069883,Clear,28.96259297917151,1,2026-02-04 01:06:50.303915
B6,ATL,MCO,2,5,936,12,7.717053466595189,68.00613112194358,Cloudy,57.414487059100864,1,2025-07-25 01:06:50.303915
F9,SFO,SEA,10,2,2396,6,37.593761633448054,36.56004599602939,Storm,0.0,0,2025-07-18 01:06:50.303915
AS,DFW,LAX,5,7,191,22,18.982668737108813,31.8852269975486,Storm,0.0,0,2026-01-14 01:06:50.303915
NK,ATL,LAS,4,5,1572,20,13.821221502511658,79.58218219887073,Snow,0.0,0,2025-12-05 01:06:50.303915
AS,SEA,MCO,2,3,304,13,20.455315673608858,62.33557110661931,Rain,0.0,0,2025-04-06 01:06:50.303915
B6,JFK,JFK,2,5,1584,23,26.015869308652135,46.929631012655456,Storm,37.07570078754031,1,2025-05-29 01:06:50.303915
NK,JFK,ATL,1,7,571,22,35.17679002249347,82.44532509367377,Rain,53.84049670531273,1,2025-05-08 01:06:50.303915
NK,SEA,DEN,10,6,958,9,33.95036027126664,53.352436309866555,Storm,46.254470287463505,1,2025-09-14 01:06:50.303915
B6,JFK,ATL,5,2,2482,18,-9.680338003672286,47.67002823790379,Cloudy,0.0,0,2025-06-28 01:06:50.303915
B6,SFO,DEN,4,3,1526,5,14.555465940656134,59.40789790080804,Storm,8.556659731091017,0,2025-11-03 01:06:50.303915
SW,MCO,MCO,12,1,1485,13,29.050386411710143,77.33644531242092,Cloudy,0.0,0,2025-08-05 01:06:50.303915
F9,ORD,ORD,7,3,134,19,28.188490288289067,55.34575982508258,Cloudy,0.0,0,2026-01-26 01:06:50.303915
B6,MCO,DEN,2,7,2011,18,8.528412171185337,88.60070245335076,Clear,0.0,0,2025-12-31 01:06:50.303915
NK,JFK,DEN,2,5,1118,3,36.09528310681299,28.35321539629642,Cloudy,49.19801176385272,1,2025-10-04 01:06:50.303915
HA,ATL,DFW,2,3,356,9,20.223710001219356,41.51659883737067,Storm,0.0,0,2025-07-27 01:06:50.303915
UA,MCO,JFK,2,1,1746,17,20.681962236846484,31.674681327693108,Rain,57.464245546272316,1,2025-12-14 01:06:50.303915
WN,MCO,LAX,1,4,973,3,11.666981748305702,63.87443641721555,Clear,0.0,0,2025-06-29 01:06:50.303915
WN,JFK,LAS,11,5,1931,3,34.11914319457107,31.597168824151506,Clear,0.0,0,2025-03-19 01:06:50.303915
SW,LAX,SEA,11,4,257,18,-2.8247716292790574,37.54704698986674,Snow,0.0,0,2025-04-07 01:06:50.303915
UA,DFW,JFK,4,3,886,19,-5.408878688800158,78.879700307961,Clear,0.0,0,2026-01-04 01:06:50.303915
NK,JFK,DFW,5,4,1690,2,-9.995726835688908,68.55536488925384,Clear,0.0,0,2026-01-11 01:06:50.303915
DL,JFK,DEN,2,2,1736,11,12.60086047398952,32.28631428823921,Snow,0.0,0,2025-08-10 01:06:50.303915
SW,ORD,LAS,2,1,667,5,-1.990026017945258,82.47422515286306,Rain,0.0,0,2026-02-10 01:06:50.303915
NK,ORD,MCO,7,2,319,7,-7.396259292443155,27.267488907281383,Storm,47.89087011882973,1,2025-04-09 01:06:50.303915
NK,LAX,JFK,9,3,2140,4,25.212946268620946,23.323144549716627,Snow,0.0,0,2025-11-04 01:06:50.303915
AS,SEA,DFW,5,7,1438,23,12.271078224340897,51.10983053032177,Rain,0.0,0,2025-03-12 01:06:50.303915
NK,LAX,DEN,8,6,2452,3,17.141573007191,34.69751556327058,Storm,0.0,0,2025-07-11 01:06:50.303915
B6,DFW,LAX,2,3,1707,13,2.0003060414614726,20.295203517035603,Storm,47.79410647884356,1,2025-07-25 01:06:50.303915
UA,JFK,ATL,11,2,388,12,39.78364179666794,75.95120764592352,Rain,0.996531055768239,0,2025-07-23 01:06:50.303915
AS,DEN,ATL,7,3,1752,17,27.351238540784934,67.09340483943664,Storm,0.0,0,2025-12-20 01:06:50.303915
WN,SFO,SFO,7,1,1586,11,-2.0937204547252257,80.52073282732056,Snow,0.0,0,2025-09-04 01:06:50.303915
HA,JFK,MCO,5,5,1433,4,9.82425085678394,69.28433075844724,Snow,33.51045137029659,1,2025-03-13 01:06:50.303915
B6,SEA,SFO,11,7,1739,1,30.113268303448905,53.16430575589692,Storm,56.46824806888354,1,2025-12-16 01:06:50.303915
NK,SEA,ATL,1,7,621,5,-8.806202649784264,49.01815104497657,Storm,0.0,0,2025-09-04 01:06:50.303915
DL,JFK,ORD,12,2,1791,4,9.375360855761386,47.06870752414102,Storm,55.98100445738982,1,2025-03-10 01:06:50.303915
NK,SFO,JFK,9,3,486,16,36.063036980888064,59.655234017094735,Rain,0.0,0,2026-01-22 01:06:50.303915
DL,MCO,JFK,1,4,1030,11,27.19061363581217,56.75882668851106,Rain,0.0,0,2025-04-20 01:06:50.303915
SW,SEA,LAX,7,2,909,16,5.914077054258257,62.89184598376325,Storm,9.370999344075248,0,2025-05-09 01:06:50.303915
B6,LAX,LAX,11,7,2167,9,15.926268496923516,66.58427044683276,Rain,0.0,0,2026-02-18 01:06:50.303915
AA,JFK,DEN,8,3,463,16,26.632713270345022,27.34021685025848,Rain,0.0,0,2025-04-11 01:06:50.303915
SW,LAX,LAX,6,2,2004,1,-7.383545274666772,42.8322680703255,Cloudy,0.0,0,2025-03-19 01:06:50.303915
UA,SEA,SEA,3,4,1717,12,4.212754531839272,41.833987848141504,Storm,38.56701942276969,1,2026-02-26 01:06:50.303915
B6,MCO,LAX,11,5,2475,1,34.4608369185132,53.67660173862018,Cloudy,0.0,0,2025-05-27 01:06:50.303915
HA,SEA,LAX,4,3,493,7,15.75495869109417,76.88667198709304,Storm,69.90050061922624,1,2025-05-16 01:06:50.303915
NK,SEA,DFW,12,5,1885,15,-1.692505579242006,32.74610229340857,Clear,0.0,0,2025-09-22 01:06:50.303915
NK,LAS,MCO,10,4,1684,3,0.028194465730333462,29.94644462615363,Storm,0.0,0,2025-09-20 01:06:50.303915
HA,SFO,LAS,3,5,2416,8,20.97011432815451,51.3741832934611,Snow,42.49453875632982,1,2025-10-30 01:06:50.303915
F9,SEA,JFK,7,6,2359,7,8.809169686567706,78.73692804156157,Storm,56.388058114937465,1,2025-12-25 01:06:50.303915
WN,SFO,LAS,8,6,1837,10,32.27202049341816,66.63993919029672,Cloudy,0.0,0,2025-11-12 01:06:50.303915
SW,SEA,ORD,2,3,2081,19,7.126152773695168,20.464539447359424,Snow,52.144982523118216,1,2025-08-29 01:06:50.303915
DL,DFW,SFO,2,3,1490,21,26.398101842448675,28.974650531647168,Rain,0.0,0,2025-05-04 01:06:50.303915
DL,LAS,LAS,4,6,591,23,-8.531117953302372,60.867181220895375,Snow,0.0,0,2025-10-13 01:06:50.303915
F9,DFW,SEA,4,3,1356,19,37.75059235549212,49.2125371951717,Rain,0.0,0,2025-05-04 01:06:50.303915
SW,ORD,ATL,5,3,367,22,31.633453981411897,27.88461016192648,Cloudy,0.0,0,2025-03-20 01:06:50.303915
B6,MCO,JFK,8,5,291,17,32.27567074513227,83.54265628081916,Storm,0.0,0,2025-09-22 01:06:50.303915
SW,SEA,SEA,11,6,443,0,31.13696400393752,88.30191918461387,Storm,0.0,0,2026-01-30 01:06:50.303915
HA,JFK,LAX,11,1,2125,16,25.46854008745526,79.72440199470662,Cloudy,27.108642668311596,1,2025-06-12 01:06:50.303915
F9,DEN,ORD,4,5,1705,7,0.37571192179149726,85.58130271554897,Cloudy,75.68559687943329,1,2026-01-16 01:06:50.303915
AS,SEA,ATL,11,7,1295,21,-0.35453181364176345,71.5291366602003,Storm,0.0,0,2026-01-08 01:06:50.303915
NK,DFW,DEN,6,5,1300,9,-1.9375705049409468,45.80384768422401,Clear,0.0,0,2025-04-06 01:06:50.303915
WN,SFO,ORD,2,6,1658,4,20.157207611085695,84.06036451152883,Storm,84.0383393149022,1,2025-08-23 01:06:50.303915
SW,JFK,DFW,6,4,1447,8,17.068931488837077,76.22081502952321,Rain,0.0,0,2025-11-07 01:06:50.303915
WN,MCO,LAX,11,3,494,10,1.7915000280318427,59.02397401097572,Rain,0.0,0,2025-11-14 01:06:50.303915
NK,ATL,ATL,6,4,1265,17,38.57705536445277,82.25495733983985,Cloudy,0.0,0,2025-06-13 01:06:50.303915
HA,MCO,DEN,8,2,2085,3,22.97862416741968,85.08593288746424,Rain,0.0,0,2025-04-23 01:06:50.303915
WN,LAX,LAS,10,3,929,12,32.60094532182717,50.38734915361067,Storm,37.30972749495843,1,2026-01-22 01:06:50.303915
AA,DFW,ORD,5,2,1671,14,17.84355622820324,28.13625318167196,Rain,0.0,0,2025-08-23 01:06:50.303915
DL,ORD,DEN,8,4,1228,14,11.96842557239707,80.65448457382367,Snow,0.0,0,2026-02-11 01:06:50.303915
B6,SFO,DFW,9,2,1854,10,26.160554703311945,21.968372760806176,Storm,0.0,0,2025-09-26 01:06:50.303915
NK,ATL,SEA,7,4,1077,12,11.408446216103876,59.27765899082386,Cloudy,0.0,0,2025-04-20 01:06:50.303915
HA,ATL,ORD,5,4,149,22,18.01369163625878,21.398724083527554,Snow,0.0,0,2026-01-04 01:06:50.303915
B6,DFW,SEA,10,3,1351,17,17.002426549208668,28.761624099379887,Rain,0.0,0,2025-09-16 01:06:50.303915
NK,DFW,SEA,7,2,2472,2,-9.267515543924938,40.14843269912238,Clear,0.0,0,2026-01-15 01:06:50.303915
AA,LAS,DEN,5,1,1692,21,9.128260066961118,63.678956187783044,Cloudy,0.0,0,2025-03-28 01:06:50.303915
AS,LAS,MCO,1,6,760,21,-5.512626082518148,45.98528366568047,Rain,0.0,0,2025-04-09 01:06:50.303915
DL,ATL,LAS,4,6,1402,23,-8.065795305978398,26.275138485002472,Rain,0.0,0,2026-02-16 01:06:50.303915
HA,JFK,LAX,9,2,2475,2,20.372879228822065,71.32305801817554,Cloudy,0.0,0,2026-02-15 01:06:50.303915
WN,DFW,LAS,7,7,1308,22,36.73679836393344,27.324959314392313,Rain,4.8794683134001815,0,2026-02-19 01:06:50.303915
HA,LAX,LAS,11,5,1778,10,16.93339608627687,83.9680924331428,Storm,0.0,0,2025-06-05 01:06:50.303915
SW,LAS,LAS,11,5,2345,19,17.190128916641203,51.89878169711166,Clear,0.0,0,2025-03-24 01:06:50.303915
DL,SFO,MCO,1,6,691,10,13.212392093001021,60.64245725465936,Storm,70.03694722610284,1,2025-12-03 01:06:50.303915
HA,DFW,MCO,3,6,1493,16,4.173271065556664,65.01939573678871,Storm,29.553395893899875,1,2025-10-26 01:06:50.303915
HA,LAX,DFW,6,7,216,0,33.13512555401837,43.32795135210595,Rain,0.0,0,2025-11-29 01:06:50.303915
WN,DFW,MCO,9,6,247,3,29.424457791097694,48.180104329884244,Rain,0.0,0,2026-02-06 01:06:50.303915
WN,LAS,DFW,9,3,1519,18,15.325972318777186,82.88451817904038,Cloudy,0.0,0,2025-10-03 01:06:50.303915
B6,LAX,ORD,1,5,1495,3,-0.7363598806611265,72.35677423020235,Clear,0.0,0,2025-07-02 01:06:50.303915
SW,SEA,ORD,5,3,1780,4,37.45380644347155,80.96610986946507,Snow,0.0,0,2025-10-10 01:06:50.303915
NK,SFO,SFO,12,5,1293,3,39.16435973796799,48.58692424516361,Storm,57.31148076734419,1,2025-07-23 01:06:50.303915
F9,JFK,SEA,11,3,1776,17,30.576292086343955,38.598009409951686,Cloudy,0.0,0,2025-08-01 01:06:50.303915
HA,JFK,LAS,3,6,1068,8,26.163859398319993,41.41185162018456,Rain,0.0,0,2025-04-23 01:06:50.303915
F9,LAX,LAX,3,5,1406,1,13.310171914607974,77.61451633458957,Clear,0.0,0,2026-01-13 01:06:50.303915
F9,LAX,DEN,8,4,1885,4,37.242799481296636,24.035914288746984,Rain,0.0,0,2025-12-08 01:06:50.303915
AS,LAS,SEA,6,4,922,8,21.617877148859435,64.6500027630384,Clear,0.0,0,2025-08-28 01:06:50.303915
HA,LAX,LAS,11,5,2220,4,5.986033228589186,59.843562739796425,Storm,0.0,0,2025-11-26 01:06:50.303915
HA,SEA,LAX,7,2,1489,18,20.03361457244098,73.08966048373259,Snow,61.00621575928382,1,2026-01-11 01:06:50.303915
AA,LAX,DEN,2,7,1348,5,29.024855148369454,85.48435685865547,Clear,0.0,0,2025-12-05 01:06:50.303915
F9,JFK,DEN,11,1,1548,18,25.351737613883053,43.364315414869715,Snow,0.0,0,2025-12-12 01:06:50.303915
F9,DEN,MCO,6,6,299,15,23.383742333430703,52.207957493611545,Cloudy,0.0,0,2025-12-20 01:06:50.303915
NK,JFK,DEN,11,3,754,1,-1.8069072985556573,52.418074899398206,Cloudy,82.57592892450393,1,2025-03-01 01:06:50.303915
UA,LAX,SFO,9,5,694,21,11.17496282559198,30.30674913352317,Clear,0.0,0,2025-12-02 01:06:50.303915
