airline,flight_num,origin_airport,dest_airport,month,day_of_month,day_of_week,dep_time,arr_time,dep_delay,arr_delay,distance,air_time,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,is_delayed
F9,5144,DEN,MCO,11,6,6,1488,1700,11.45811593251233,11.45811593251233,991,92,0.0,0.0,0.0,0.0,0.0,0
WN,3572,PHX,LAX,1,23,3,2158,230,0.0,0.0,2744,272,0.0,0.0,0.0,0.0,0.0,0
US,1745,DFW,JFK,3,16,1,779,855,0.0,0.0,195,36,0.0,0.0,0.0,0.0,0.0,0
NK,6191,DTW,BOS,1,3,3,2125,2220,12.184258784671922,12.184258784671922,311,55,0.0,0.0,0.0,0.0,0.0,0
US,1585,DTW,EWR,10,13,6,440,927,18.871020415082395,18.871020415082395,2946,287,0.0,0.0,0.0,0.0,0.0,1
DL,965,DTW,DTW,4,11,4,998,1143,20.109618223876133,20.109618223876133,884,65,0.0,0.0,0.0,0.0,0.0,1
B6,907,SEA,PHX,10,22,2,2148,10,23.89002502005186,23.89002502005186,1397,142,0.0,0.0,0.0,0.0,0.0,1
AS,2499,EWR,DTW,2,18,4,1893,2303,29.306047807558368,29.306047807558368,2020,210,0.0,0.0,0.0,0.0,0.0,1
WN,2231,SEA,SFO,11,13,2,1332,1833,0.0,7.6155933749051385,2932,301,7.6155933749051385,0.0,0.0,0.0,0.0,0
AS,9530,ATL,MIA,1,19,1,473,543,12.139163858902718,12.139163858902718,172,30,0.0,0.0,0.0,0.0,0.0,0
AA,3050,CLT,PHX,11,20,6,1050,1302,0.0,0.0,1317,132,0.0,0.0,0.0,0.0,0.0,0
AS,8556,MCO,SEA,11,4,2,1153,1321,0.0,0.0,1092,88,0.0,0.0,0.0,0.0,0.0,0
B6,5284,BOS,DFW,5,6,7,264,617,14.824519616252763,14.824519616252763,1928,193,0.0,0.0,0.0,0.0,0.0,0
HA,8192,DTW,SFO,8,3,7,1714,1945,0.0,0.0,1767,151,0.0,0.0,0.0,0.0,0.0,0
F9,6651,MSP,ATL,1,2,6,813,1207,0.0,0.0,2148,234,0.0,0.0,0.0,0.0,0.0,0
F9,2150,JFK,LAX,12,10,4,1,213,13.042399782796526,13.042399782796526,1493,132,0.0,0.0,0.0,0.0,0.0,0
US,2053,DFW,MCO,4,25,2,2100,2313,21.510167437393676,21.510167437393676,1390,133,0.0,0.0,0.0,0.0,0.0,1
DL,2462,EWR,LGA,7,14,7,90,240,0.0,21.14888993334219,883,70,0.0,0.0,0.0,0.0,21.14888993334219,1
NK,6120,SFO,ATL,6,25,3,238,537,22.592831416435274,22.592831416435274,1737,179,0.0,0.0,0.0,0.0,0.0,1
F9,4464,DEN,LAX,3,26,3,1764,2117,40.79423615225192,47.154385240806086,1727,193,6.360149088554166,0.0,0.0,0.0,0.0,1
DL,4940,ATL,LGA,3,12,3,83,531,0.0,0.0,2720,248,0.0,0.0,0.0,0.0,0.0,0
NK,4077,BOS,PHX,4,25,7,609,900,20.61413953885551,20.61413953885551,1425,171,0.0,0.0,0.0,0.0,0.0,1
WN,4580,MCO,PHX,8,8,2,919,1336,31.160757690258347,31.160757690258347,2561,257,0.0,0.0,0.0,0.0,0.0,1
B6,1307,CLT,DTW,9,4,5,1345,1822,0.0,0.0,2679,277,0.0,0.0,0.0,0.0,0.0,0
F9,2824,LGA,PHL,6,7,7,1255,1443,15.624407878135692,15.624407878135692,1084,108,0.0,0.0,0.0,0.0,0.0,1
F9,5065,CLT,SFO,8,23,6,1162,1508,33.63392222398474,33.63392222398474,1969,186,0.0,0.0,0.0,0.0,0.0,1
B6,7032,MCO,DEN,10,23,1,197,521,2.0605055498273375,15.801023295392664,1624,164,0.0,13.740517745565327,0.0,0.0,0.0,1
WN,3856,DFW,FLL,4,15,6,1543,1804,2.917053091826414,2.917053091826414,1564,141,0.0,0.0,0.0,0.0,0.0,0
UA,1698,MCO,MIA,4,9,6,660,1122,23.924062839354765,23.924062839354765,2847,262,0.0,0.0,0.0,0.0,0.0,1
UA,5607,ORD,PHL,6,19,7,508,711,0.0,0.0,1199,123,0.0,0.0,0.0,0.0,0.0,0
US,4200,BOS,LAX,5,25,4,1076,1607,8.695347900951031,8.695347900951031,2716,291,0.0,0.0,0.0,0.0,0.0,0
