feature,importance
dep_delay,0.4231529
carrier_delay,0.094832696
weather_delay,0.09371995
late_aircraft_delay,0.092450164
security_delay,0.078506105
nas_delay,0.05866397
distance,0.016440975
origin_airport_encoded,0.016205331
is_holiday_season,0.01237599
day_of_month,0.011513135
airline_encoded,0.011198685
arr_hour,0.011014826
day_of_week,0.0108224945
avg_speed,0.010492299
month,0.008566362
dest_airport_encoded,0.007917276
dep_hour,0.0076880357
air_time,0.0076218867
distance_category_encoded,0.007298138
is_weekend,0.0070826686
origin_is_busy,0.006924928
dest_is_busy,0.005511178
